Feature,Avg Engagement,Count
With Question,342.58399255467657,2149
Without Question,324.13593302489534,9078
With Hashtag,317.6225026288118,1902
Without Hashtag,329.7159249329759,9325
With URL,430.3944555778223,2994
Without URL,290.3094862140168,8233
With Emoji,280.69585687382295,3186
Without Emoji,346.27807486631013,8041
