has_question,Avg_Engagement,Median_Engagement,Post_Count,Avg_Likes,Avg_Shares,Avg_Comments
False,324.14,110.0,9078,286.25,13.24,24.65
True,342.58,136.0,2149,291.16,15.36,36.07
