Metric,Value
Total Posts,11227.0
Unique Authors,1829.0
Total Likes,3224247.0
Total Shares,153186.0
Total Comments,301286.0
Total Engagement,3678719.0
Avg Engagement per Post,327.6671417119444
Median Engagement per Post,115.0
Posts with Images,3970.0
Posts with Videos,1620.0
Posts with Articles,1625.0
Reshared Posts,2405.0
