has_any_cta,Avg_Engagement,Median_Engagement,Post_Count,Avg_Likes,Avg_Shares,Avg_Comments
False,315.21,110.0,8521,280.33,11.31,23.57
True,366.88,136.0,2706,308.78,20.99,37.12
