Metric,Mean,Median,Std,Skewness,Kurtosis,Q1,Q3
numLikes,287.1868709361361,100.0,781.1509292506074,12.599687401969978,249.3671631308376,40.0,258.0
numShares,13.644428609601853,3.0,71.34589187263848,40.290665828979456,2229.6758545812086,1.0,10.0
numComments,26.835842166206465,7.0,109.3680242567892,60.38185147476315,5145.552598241479,2.0,23.0
total_engagement,327.6671417119444,115.0,886.6213495752222,13.096285205209794,274.36771702816145,45.0,294.0
